"direction_id_mo","route_id_mo","trip_headsign_mo","trip_headsign_tr","route_id_tr","direction_id_tr","trip_id"
0,"1","blok m - kota","blok m - kota","1",0,"1.001"
0,"1","blok m - kota","bundaran senayan - kota","1",0,"1.404"
0,"1","blok m - kota","harmoni - kota","1",0,"1.502"
0,"1","blok m - kota","blok m - harmoni","1",0,"1.009"
0,"1","blok m - kota","blok m - tosari","1",0,"1.205A"
0,"1","blok m - kota","monas - kota","1",0,"1.012B"
0,"1","blok m - kota","blok m - kota via jl. pattimura","1",0,"a1-b"
0,"1","blok m - kota","blok m - harmoni via jl. pattimura","1",0,"a1-c"
0,"1","blok m - kota","blok m - tosari via jl. pattimura","1",0,"a1-d"
0,"1","blok m - kota","bundaran senayan - harmoni","1",0,"1.327B"
0,"1","blok m - kota","bundaran hi - kota","1",0,"1.214B"
0,"1","blok m - kota","blok m - monas","1",0,"1.207"
0,"1","blok m - kota","blok m - bank indonesia","1",0,"1.209B"
1,"1","kota - blok m","kota - blok m","1",1,"1.002"
1,"1","kota - blok m","kota - bundaran senayan","1",1,"1.008"
1,"1","kota - blok m","kota - harmoni","1",1,"1.006"
1,"1","kota - blok m","harmoni - blok m","1",1,"1.501"
1,"1","kota - blok m","tosari - blok m","1",1,"1.205B"
1,"1","kota - blok m","kota - monas","1",1,"1.012"
1,"1","kota - blok m","bundaran senayan - blok m","1",1,"1.402"
1,"1","kota - blok m","kota - dukuh atas 2","1",1,"1.014"
1,"1","kota - blok m","harmoni - bundaran senayan","1",1,"1.327"
1,"1","kota - blok m","kota - bundaran hi","1",1,"1.214A"
1,"1","kota - blok m","monas - blok m","1",1,"1.216"
1,"1","kota - blok m","bank indonesia - blok m","1",1,"1.209A"
0,"1A","pik - balai kota","pik - balai kota","1A",0,"N4.001"
0,"1A","pik - balai kota","pik - harmoni","1A",0,"1.A201A"
0,"1A","pik - balai kota","pik - kota","1A",0,"1.A305"
0,"1A","pik - balai kota","pik - penjaringan","1A",0,"1.A205A"
0,"1A","pik - balai kota","landmark pluit auto plaza - balai kota","1A",0,"1.A311"
0,"1A","pik - balai kota","kota - monas","1A",0,"1.A204B"
0,"1A","pik - balai kota","penjaringan - balai kota","1A",0,"1.A206B"
0,"1A","pik - balai kota","kota - balai kota","1A",0,"1.A210B"
0,"1A","pik - balai kota","penjaringan - monas","1A",0,"1.A316B"
1,"1A","balai kota - pik","balai kota - pik","1A",1,"N4.002"
1,"1A","balai kota - pik","harmoni - pik","1A",1,"1.A201B"
1,"1A","balai kota - pik","kota - pik","1A",1,"1.A006"
1,"1A","balai kota - pik","penjaringan - pik","1A",1,"1.A205B"
1,"1A","balai kota - pik","monas - kota","1A",1,"1.A204A"
1,"1A","balai kota - pik","balai kota - penjaringan","1A",1,"1.A206A"
1,"1A","balai kota - pik","balai kota - kota","1A",1,"1.A210A"
1,"1A","balai kota - pik","monas - penjaringan","1A",1,"1.A316A"
0,"1B","stasiun palmerah - tosari","stasiun palmerah - tosari","1B",0,"N27.001"
1,"1B","tosari - stasiun palmerah","tosari - stasiun palmerah","1B",1,"N27.002"
0,"1C","pesanggrahan - blok m","blok m - bintaro via pesanggrahan","1C",0,"A0"
1,"1C","blok m - pesanggrahan","bintaro - blok m via pesanggrahan","1C",1,"A1"
0,"1E","pondok labu - blok m","pondok labu - blok m","1E",0,"a-b"
0,"1E","pondok labu - blok m","fatmawati - blok m","1E",0,"c-b"
1,"1E","blok m - pondok labu","blok m - pondok labu","1E",1,"b-a"
1,"1E","blok m - pondok labu","blok m - fatmawati","1E",1,"b-c"
0,"1F","stasiun palmerah - bundaran senayan","stasiun palmerah - bundaran senayan","1F",0,"1F.001"
0,"1F","stasiun palmerah - bundaran senayan","stasiun palmerah - bundaran senayan via jl. asia afrika","1F",0,"1F.003"
1,"1F","bundaran senayan - stasiun palmerah","bundaran senayan - stasiun palmerah","1F",1,"1F.002"
0,"1H","stasiun tanah abang - stasiun gondangdia","stasiun tanah abang - stasiun gondangdia - stasiun tanah abang","1H",0,"a-b"
1,"1H","stasiun gondangdia - stasiun tanah abang",NA,NA,NA,NA
0,"1K","cibubur - blok m","cibubur - blok m","1K",0,"A0"
1,"1K","blok m - cibubur","blok m - cibubur","1K",1,"A1"
0,"1M","meruya - blok m","meruya - blok m","1M",0,"a-b"
1,"1M","blok m - meruya","blok m - meruya","1M",1,"b-a"
0,"1N","tanah abang - blok m","tanah abang - blok m","1N",0,"a-b"
0,"1N","tanah abang - blok m","tanah abang - bundaran senayan","1N",0,"a-c"
0,"1N","tanah abang - blok m","bundaran hi - blok m","1N",0,"d-b"
1,"1N","blok m - tanah abang","blok m - tanah abang","1N",1,"b-a"
1,"1N","blok m - tanah abang","bundaran senayan - tanah abang","1N",1,"c-a"
1,"1N","blok m - tanah abang","blok m - bundaran hi","1N",1,"b-d"
0,"1P","terminal senen - bundaran senayan","senen - bundaran senayan","1P",0,"a-b"
1,"1P","bundaran senayan - terminal senen","bundaran senayan - senen","1P",1,"b-a"
0,"1Q","blok m - rempoa",NA,NA,NA,NA
1,"1Q","rempoa - blok m",NA,NA,NA,NA
0,"1R","stasiun tanah abang - terminal senen","senen - stasiun tanah abang","1R",0,"a-b"
0,"1R","stasiun tanah abang - terminal senen","stasiun pasar senen - stasiun tanah abang via jl kwini","1R",0,"a1-b"
0,"1R","stasiun tanah abang - terminal senen","stasiun pasar senen - jatibaru","1R",0,"a-c"
1,"1R","terminal senen - stasiun tanah abang","stasiun tanah abang - senen","1R",1,"b-a"
1,"1R","terminal senen - stasiun tanah abang","jatibaru - stasiun pasar senen","1R",1,"c-a"
1,"1T","kota - cibubur",NA,NA,NA,NA
