"trip_id","arrival_time","departure_time","stop_id","stop_sequence"
"1.001",,,"Blok M",1
"1.001",,,"166879179",2
"1.001",,,"1-3 Bundaran Senayan",3
"1.001",,,"1-4 Gelora Bung Karno",4
"1.001",,,"1-5 Polda Metro Jaya",5
"1.001",,,"1-6 BENDUNGAN HILIR",6
"1.001",,,"1-7 KARET",7
"1.001",,,"1-8 DUKUH ATAS 1",8
"1.001",,,"1-9 TOSARI",9
"1.001",,,"425957666",10
"1.001",,,"1-10 Sarinah",11
"1.001",,,"1-11 Bank Indonesia",12
"1.001",,,"1-12 Monas",13
"1.001",,,"1-13 Harmoni Central Busway",14
"1.001",,,"1-14 Sawah Besar",15
"1.001",,,"1-15 Mangga Besar",16
"1.001",,,"1-16 Olimo",17
"1.001",,,"1-17 Glodok",18
"1.001",,,"1-18 Stasiun Kota atv",19
"1.002",,,"1-18 Stasiun Kota",1
"1.002",,,"1-17 Glodok",2
"1.002",,,"1-16 Olimo",3
"1.002",,,"1-15 Mangga Besar",4
"1.002",,,"1-14 Sawah Besar",5
"1.002",,,"1-13 Harmoni Central Busway",6
"1.002",,,"1-12 Monas",7
"1.002",,,"467389019",8
"1.002",,,"1-10 Sarinah",9
"1.002",,,"425957666",10
"1.002",,,"1-9 TOSARI",11
"1.002",,,"1-8 DUKUH ATAS 1",12
"1.002",,,"1-7 KARET",13
"1.002",,,"1-6 BENDUNGAN HILIR",14
"1.002",,,"1-5 Polda Metro Jaya",15
"1.002",,,"1-4 Gelora Bung Karno",16
"1.002",,,"1-3 Bundaran Senayan",17
"1.002",,,"166879179",18
"1.002",,,"Blok M atv",19
"1.404",,,"1-3 Bundaran Senayan",1
"1.404",,,"1-4 Gelora Bung Karno",2
"1.404",,,"1-5 Polda Metro Jaya",3
"1.404",,,"1-6 BENDUNGAN HILIR",4
"1.404",,,"1-7 KARET",5
"1.404",,,"1-8 DUKUH ATAS 1",6
"1.404",,,"1-9 TOSARI",7
"1.404",,,"425957666",8
"1.404",,,"1-10 Sarinah",9
"1.404",,,"1-11 Bank Indonesia",10
"1.404",,,"1-12 Monas",11
"1.404",,,"1-13 Harmoni Central Busway",12
"1.404",,,"1-14 Sawah Besar",13
"1.404",,,"1-15 Mangga Besar",14
"1.404",,,"1-16 Olimo",15
"1.404",,,"1-17 Glodok",16
"1.404",,,"1-18 Stasiun Kota atv",17
"1.008",,,"1-18 Stasiun Kota",1
"1.008",,,"1-17 Glodok",2
"1.008",,,"1-16 Olimo",3
"1.008",,,"1-15 Mangga Besar",4
"1.008",,,"1-14 Sawah Besar",5
"1.008",,,"1-13 Harmoni Central Busway",6
"1.008",,,"1-12 Monas",7
"1.008",,,"467389019",8
"1.008",,,"1-10 Sarinah",9
"1.008",,,"425957666",10
"1.008",,,"1-9 TOSARI",11
"1.008",,,"1-8 DUKUH ATAS 1",12
"1.008",,,"1-7 KARET",13
"1.008",,,"1-6 BENDUNGAN HILIR",14
"1.008",,,"1-5 Polda Metro Jaya",15
"1.008",,,"1-4 Gelora Bung Karno",16
"1.008",,,"1-3 Bundaran Senayan",17
"1.502",,,"1-13 Harmoni Central Busway",1
"1.502",,,"1-14 Sawah Besar",2
"1.502",,,"1-15 Mangga Besar",3
"1.502",,,"1-16 Olimo",4
"1.502",,,"1-17 Glodok",5
"1.502",,,"1-18 Stasiun Kota atv",6
"1.006",,,"1-18 Stasiun Kota",1
"1.006",,,"1-17 Glodok",2
"1.006",,,"1-16 Olimo",3
"1.006",,,"1-15 Mangga Besar",4
"1.006",,,"1-14 Sawah Besar",5
"1.006",,,"1-13 Harmoni Central Busway",6
"1.009",,,"Blok M",1
"1.009",,,"166879179",2
"1.009",,,"1-3 Bundaran Senayan",3
"1.009",,,"1-4 Gelora Bung Karno",4
"1.009",,,"1-5 Polda Metro Jaya",5
"1.009",,,"1-6 BENDUNGAN HILIR",6
"1.009",,,"1-7 KARET",7
"1.009",,,"1-8 DUKUH ATAS 1",8
"1.009",,,"1-9 TOSARI",9
"1.009",,,"425957666",10
"1.009",,,"1-10 Sarinah",11
"1.009",,,"1-11 Bank Indonesia",12
"1.009",,,"1-12 Monas",13
"1.009",,,"1-13 Harmoni Central Busway",14
"1.501",,,"1-13 Harmoni Central Busway",1
"1.501",,,"1-12 Monas",2
"1.501",,,"467389019",3
"1.501",,,"1-10 Sarinah",4
"1.501",,,"425957666",5
"1.501",,,"1-9 TOSARI",6
"1.501",,,"1-8 DUKUH ATAS 1",7
"1.501",,,"1-7 KARET",8
"1.501",,,"1-6 BENDUNGAN HILIR",9
"1.501",,,"1-5 Polda Metro Jaya",10
"1.501",,,"1-4 Gelora Bung Karno",11
"1.501",,,"1-3 Bundaran Senayan",12
"1.501",,,"166879179",13
"1.501",,,"Blok M atv",14
"1.205A",,,"Blok M",1
"1.205A",,,"166879179",2
"1.205A",,,"1-3 Bundaran Senayan",3
"1.205A",,,"1-4 Gelora Bung Karno",4
"1.205A",,,"1-5 Polda Metro Jaya",5
"1.205A",,,"1-6 BENDUNGAN HILIR",6
"1.205A",,,"1-7 KARET",7
"1.205A",,,"1-8 DUKUH ATAS 1",8
"1.205A",,,"1-9 TOSARI",9
"1.205B",,,"1-9 TOSARI",1
"1.205B",,,"1-8 DUKUH ATAS 1",2
"1.205B",,,"1-7 KARET",3
"1.205B",,,"1-6 BENDUNGAN HILIR",4
"1.205B",,,"1-5 Polda Metro Jaya",5
"1.205B",,,"1-4 Gelora Bung Karno",6
"1.205B",,,"1-3 Bundaran Senayan",7
"1.205B",,,"166879179",8
"1.205B",,,"Blok M atv",9
"1.012B",,,"1-12 Monas",1
"1.012B",,,"1-13 Harmoni Central Busway",2
"1.012B",,,"1-14 Sawah Besar",3
"1.012B",,,"1-15 Mangga Besar",4
"1.012B",,,"1-16 Olimo",5
"1.012B",,,"1-17 Glodok",6
"1.012B",,,"1-18 Stasiun Kota atv",7
"1.012",,,"1-18 Stasiun Kota",1
"1.012",,,"1-17 Glodok",2
"1.012",,,"1-16 Olimo",3
"1.012",,,"1-15 Mangga Besar",4
"1.012",,,"1-14 Sawah Besar",5
"1.012",,,"1-13 Harmoni Central Busway",6
"1.012",,,"1-12 Monas",7
"1.402",,,"1-3 Bundaran Senayan",1
"1.402",,,"166879179",2
"1.402",,,"Blok M atv",3
"a1-b",,,"Blok M",1
"a1-b",,,"1-3 Bundaran Senayan",2
"a1-b",,,"1-4 Gelora Bung Karno",3
"a1-b",,,"1-5 Polda Metro Jaya",4
"a1-b",,,"1-6 BENDUNGAN HILIR",5
"a1-b",,,"1-7 KARET",6
"a1-b",,,"1-8 DUKUH ATAS 1",7
"a1-b",,,"1-9 TOSARI",8
"a1-b",,,"425957666",9
"a1-b",,,"1-10 Sarinah",10
"a1-b",,,"1-11 Bank Indonesia",11
"a1-b",,,"1-12 Monas",12
"a1-b",,,"1-13 Harmoni Central Busway",13
"a1-b",,,"1-14 Sawah Besar",14
"a1-b",,,"1-15 Mangga Besar",15
"a1-b",,,"1-16 Olimo",16
"a1-b",,,"1-17 Glodok",17
"a1-b",,,"1-18 Stasiun Kota atv",18
"a1-c",,,"Blok M",1
"a1-c",,,"1-3 Bundaran Senayan",2
"a1-c",,,"1-4 Gelora Bung Karno",3
"a1-c",,,"1-5 Polda Metro Jaya",4
"a1-c",,,"1-6 BENDUNGAN HILIR",5
"a1-c",,,"1-7 KARET",6
"a1-c",,,"1-8 DUKUH ATAS 1",7
"a1-c",,,"1-9 TOSARI",8
"a1-c",,,"425957666",9
"a1-c",,,"1-10 Sarinah",10
"a1-c",,,"1-11 Bank Indonesia",11
"a1-c",,,"1-12 Monas",12
"a1-c",,,"1-13 Harmoni Central Busway",13
"a1-d",,,"Blok M",1
"a1-d",,,"1-3 Bundaran Senayan",2
"a1-d",,,"1-4 Gelora Bung Karno",3
"a1-d",,,"1-5 Polda Metro Jaya",4
"a1-d",,,"1-6 BENDUNGAN HILIR",5
"a1-d",,,"1-7 KARET",6
"a1-d",,,"1-8 DUKUH ATAS 1",7
"a1-d",,,"1-9 TOSARI",8
"1.014",,,"1-18 Stasiun Kota",1
"1.014",,,"1-17 Glodok",2
"1.014",,,"1-16 Olimo",3
"1.014",,,"1-15 Mangga Besar",4
"1.014",,,"1-14 Sawah Besar",5
"1.014",,,"1-13 Harmoni Central Busway",6
"1.014",,,"1-12 Monas",7
"1.014",,,"467389019",8
"1.014",,,"1-10 Sarinah",9
"1.014",,,"425957666",10
"1.014",,,"Dukuh Atas",11
"1.327",,,"1-13 Harmoni Central Busway",1
"1.327",,,"1-12 Monas",2
"1.327",,,"467389019",3
"1.327",,,"1-10 Sarinah",4
"1.327",,,"425957666",5
"1.327",,,"1-9 TOSARI",6
"1.327",,,"1-8 DUKUH ATAS 1",7
"1.327",,,"1-7 KARET",8
"1.327",,,"1-6 BENDUNGAN HILIR",9
"1.327",,,"1-5 Polda Metro Jaya",10
"1.327",,,"1-4 Gelora Bung Karno",11
"1.327",,,"1-3 Bundaran Senayan",12
"1.327B",,,"1-3 Bundaran Senayan",1
"1.327B",,,"1-4 Gelora Bung Karno",2
"1.327B",,,"1-5 Polda Metro Jaya",3
"1.327B",,,"1-6 BENDUNGAN HILIR",4
"1.327B",,,"1-7 KARET",5
"1.327B",,,"1-8 DUKUH ATAS 1",6
"1.327B",,,"1-9 TOSARI",7
"1.327B",,,"425957666",8
"1.327B",,,"1-10 Sarinah",9
"1.327B",,,"1-11 Bank Indonesia",10
"1.327B",,,"1-12 Monas",11
"1.327B",,,"1-13 Harmoni Central Busway",12
"1.214B",,,"425957666",1
"1.214B",,,"1-10 Sarinah",2
"1.214B",,,"1-11 Bank Indonesia",3
"1.214B",,,"1-12 Monas",4
"1.214B",,,"1-13 Harmoni Central Busway",5
"1.214B",,,"1-14 Sawah Besar",6
"1.214B",,,"1-15 Mangga Besar",7
"1.214B",,,"1-16 Olimo",8
"1.214B",,,"1-17 Glodok",9
"1.214B",,,"1-18 Stasiun Kota atv",10
"1.214A",,,"1-18 Stasiun Kota",1
"1.214A",,,"1-17 Glodok",2
"1.214A",,,"1-16 Olimo",3
"1.214A",,,"1-15 Mangga Besar",4
"1.214A",,,"1-14 Sawah Besar",5
"1.214A",,,"1-13 Harmoni Central Busway",6
"1.214A",,,"1-12 Monas",7
"1.214A",,,"467389019",8
"1.214A",,,"1-10 Sarinah",9
"1.214A",,,"425957666",10
"1.207",,,"Blok M",1
"1.207",,,"166879179",2
"1.207",,,"1-3 Bundaran Senayan",3
"1.207",,,"1-4 Gelora Bung Karno",4
"1.207",,,"1-5 Polda Metro Jaya",5
