"stop_id","stop_name","stop_lat","stop_lon"
"Blok M","Blok M, platform 1",-6.24329614639282,106.801963806152
"166879179","Masjid Agung",-6.23655271530151,106.798446655273
"1-3 Bundaran Senayan","Bundaran Senayan",-6.22782039642334,106.801010131836
"1-4 Gelora Bung Karno","Gelora Bung Karno",-6.22418594360352,106.805793762207
"1-5 Polda Metro Jaya","Polda Metro Jaya",-6.22107267379761,106.810256958008
"1-6 BENDUNGAN HILIR","Bendungan Hilir",-6.21715927124023,106.815231323242
"1-7 KARET","Karet Sudirman",-6.21243000030518,106.820022583008
"1-8 DUKUH ATAS 1","Dukuh Atas 1",-6.20572805404663,106.822235107422
"1-9 TOSARI","Tosari",-6.19689178466797,106.823089599609
"425957666","Bundaran HI",-6.19300603866577,106.82299041748
"1-10 Sarinah","Sarinah",-6.18814468383789,106.822967529297
"1-11 Bank Indonesia","Bank Indonesia",-6.18267822265625,106.822822570801
"1-12 Monas","Monumen Nasional",-6.17621421813965,106.822868347168
"1-13 Harmoni Central Busway","Harmoni",-6.16593790054321,106.820472717285
"1-14 Sawah Besar","Sawah Besar",-6.1603889465332,106.819259643555
"1-15 Mangga Besar","Mangga Besar",-6.15218019485474,106.8173828125
"1-16 Olimo","Olimo",-6.14930391311646,106.816703796387
"1-17 Glodok","Glodok",-6.1445517539978,106.815475463867
"1-18 Stasiun Kota atv","Kota",-6.13776874542236,106.813743591309
"1-18 Stasiun Kota","Stasiun Kota",-6.13775539398193,106.814041137695
"467389019","Bank Indonesia",-6.18475580215454,106.823211669922
"Blok M atv","Blok M, platform 1",-6.2432975769043,106.801002502441
"Dukuh Atas","Dukuh Atas 2",-6.20429992675781,106.823440551758
"Fresh Market PIK","Fresh Market PIK",-6.10311555862427,106.741088867188
"PIK Mall","PIK Avenue",-6.10857248306274,106.739639282227
"Ruko Cordoba","Ruko Cordoba",-6.11247158050537,106.743583679199
"Waterboom (arah Monas)","Waterbom Jakarta",-6.11298990249634,106.749298095703
"RS. Pantai Indah Kapuk","RS PIK / Hotel Ozone",-6.11239767074585,106.752517700195
"The Kingdom","Simpang Mandara Permai",-6.11629390716553,106.756660461426
"1943071390","Jalan Mandara Permai VI",-6.11623907089233,106.758758544922
"Mediterania Boulevard","Mediterania Boulevard",-6.11602687835693,106.765060424805
"Marga Satwa (arah Monas)","Marga Satwa",-6.11595392227173,106.768852233887
"SMAK6 Penabur (arah Monas)","SMAK Penabur 6",-6.11422920227051,106.773941040039
"Kompleks Karang Asri","Karang Asri",-6.11231422424316,106.773147583008
"Muara Angke","Muara Angke",-6.10990190505981,106.774787902832
"R1 Baywalk Mall 1","Baywalk Mall 1",-6.10985660552979,106.778327941895
"B14 Baywalk Mall 2","Baywalk Mall 2",-6.11037015914917,106.779762268066
"Sekolah Katolik Diakonia","SD Diakonia",-6.11215448379517,106.78938293457
"Pluit Permai (arah Monas)","Pluit Utara Raya",-6.11209392547607,106.792694091797
"Waduk Pluit","Waduk Pluit",-6.1132230758667,106.794891357422
"SMKN 56","SMKN 56",-6.11909675598145,106.794235229492
"Aston Pluit","Aston Pluit",-6.12460899353027,106.794998168945
"Landmark Autoplaza","Landmark Pluit Auto Plaza",-6.12522125244141,106.799705505371
"R3 SDN Penjaringan","SDN Penjaringan",-6.12512922286987,106.802589416504
"R4 Luar Batang","Masjid Luar Batang",-6.12632942199707,106.804405212402
"Pakin","Pakin",-6.12742280960083,106.804634094238
"Gedong Panjang","Gedong Panjang",-6.13260650634766,106.805946350098
"Museum Fatalitah","Museum Fatahillah",-6.13390779495239,106.812103271484
"R167 BNI 46","BNI 46",-6.13590621948242,106.814262390137
"Balai Kota","Balai Kota",-6.18024206161499,106.827644348145
"BalaiKota Jakarta Pusat","Balai Kota 1",-6.18059587478638,106.82836151123
