"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"1","fullday","1.001","Blok M - Kota",0,"shp_1_001"
"1","fullday","1.002","Kota - Blok M",1,"shp_1_002"
"1","fullday","1.404","Bundaran Senayan - Kota",0,"shp_1_404"
"1","fullday","1.008","Kota - Bundaran Senayan",1,"shp_1_008"
"1","fullday","1.502","Harmoni - Kota",0,"shp_1_502"
"1","fullday","1.006","Kota - Harmoni",1,"shp_1_006"
"1","fullday","1.009","Blok M - Harmoni",0,"shp_1_009"
"1","fullday","1.501","Harmoni - Blok M",1,"shp_1_501"
"1","fullday","1.205A","Blok M - Tosari",0,"shp_1_205A"
"1","fullday","1.205B","Tosari - Blok M",1,"shp_1_205B"
"1","fullday","1.012B","Monas - Kota",0,"shp_1_012B"
"1","fullday","1.012","Kota - Monas",1,"shp_1_012"
"1","fullday","1.402","Bundaran Senayan - Blok M",1,"shp_1_402"
"1","fullday","a1-b","Blok M - Kota via Jl. Pattimura",0,"shp_a1-b"
"1","fullday","a1-c","Blok M - Harmoni via Jl. Pattimura",0,"shp_a1-c"
"1","fullday","a1-d","Blok M - Tosari via Jl. Pattimura",0,"shp_a1-d"
"1","fullday","1.014","Kota - Dukuh Atas 2",1,"shp_1_014"
"1","fullday","1.327","Harmoni - Bundaran Senayan",1,"shp_1_327"
"1","fullday","1.327B","Bundaran Senayan - Harmoni",0,"shp_1_327B"
"1","fullday","1.214B","Bundaran HI - Kota",0,"shp_1_214B"
"1","fullday","1.214A","Kota - Bundaran HI",1,"shp_1_214A"
"1","fullday","1.207","Blok M - Monas",0,"shp_1_207"
"1","fullday","1.216","Monas - Blok M",1,"shp_1_216"
"1","fullday","1.209B","Blok M - Bank Indonesia",0,"shp_1_209B"
"1","fullday","1.209A","Bank Indonesia - Blok M",1,"shp_1_209A"
"1A","fullday","N4.001","PIK - Balai Kota",0,"shp_N4_001"
"1A","fullday","N4.002","Balai Kota - PIK",1,"shp_N4_002"
"1A","fullday","1.A201A","PIK - Harmoni",0,"shp_1_A201A"
"1A","fullday","1.A201B","Harmoni - PIK",1,"shp_1_A201B"
"1A","fullday","1.A305","PIK - Kota",0,"shp_1_A305"
"1A","fullday","1.A006","Kota - PIK",1,"shp_1_A006"
"1A","fullday","1.A205A","PIK - Penjaringan",0,"shp_1_A205A"
"1A","fullday","1.A205B","Penjaringan - PIK",1,"shp_1_A205B"
"1A","fullday","1.A311","Landmark Pluit Auto Plaza - Balai Kota",0,"shp_1_A311"
"1A","fullday","1.A204B","Kota - Monas",0,"shp_1_A204B"
"1A","fullday","1.A204A","Monas - Kota",1,"shp_1_A204A"
"1A","fullday","1.A206B","Penjaringan - Balai Kota",0,"shp_1_A206B"
"1A","fullday","1.A206A","Balai Kota - Penjaringan",1,"shp_1_A206A"
"1A","fullday","1.A210B","Kota - Balai Kota",0,"shp_1_A210B"
"1A","fullday","1.A210A","Balai Kota - Kota",1,"shp_1_A210A"
"1A","fullday","1.A316B","Penjaringan - Monas",0,"shp_1_A316B"
"1A","fullday","1.A316A","Monas - Penjaringan",1,"shp_1_A316A"
"1B","weekday","N27.001","Stasiun Palmerah - Tosari",0,"shp_N27_001"
"1B","weekday","N27.002","Tosari - Stasiun Palmerah",1,"shp_N27_002"
"1C","fullday","A0","Blok M - Bintaro via Pesanggrahan",0,"shp_A0"
"1C","fullday","A1","Bintaro - Blok M via Pesanggrahan",1,"shp_A1"
"1E","fullday","a-b","Pondok Labu - Blok M",0,"shp_a-b"
"1E","fullday","b-a","Blok M - Pondok Labu",1,"shp_b-a"
"1E","fullday","c-b","Fatmawati - Blok M",0,"shp_c-b"
"1E","fullday","b-c","Blok M - Fatmawati",1,"shp_b-c"
"1F","weekday","1F.001","Stasiun Palmerah - Bundaran Senayan",0,"shp_1F_001"
"1F","weekday","1F.002","Bundaran Senayan - Stasiun Palmerah",1,"shp_1F_002"
"1F","weekday","1F.003","Stasiun Palmerah - Bundaran Senayan via Jl. Asia Afrika",0,"shp_1F_003"
"1H","weekday","a-b","Stasiun Tanah Abang - Stasiun Gondangdia - Stasiun Tanah Abang",0,"shp_a-b"
"1M","fullday","a-b","Meruya - Blok M",0,"shp_a-b"
"1M","fullday","b-a","Blok M - Meruya",1,"shp_b-a"
"1N","weekday","a-b","Tanah Abang - Blok M",0,"shp_a-b"
"1N","weekday","b-a","Blok M - Tanah Abang",1,"shp_b-a"
"1N","weekday","a-c","Tanah Abang - Bundaran Senayan",0,"shp_a-c"
"1N","weekday","c-a","Bundaran Senayan - Tanah Abang",1,"shp_c-a"
"1N","weekday","d-b","Bundaran HI - Blok M",0,"shp_d-b"
